tribalism|good|svart|debattord, stamtänkande ledtrådbart
socialism|good|mellan|välkänd ideologi
kapitalism|good|mellan|välkänd ideologi
liberalism|good|mellan|välkänd ideologi
karma|good|mellan|vardagligt via popkultur
reinkarnation|good|mellan|känt, återfödelse
kaos|good|enkelt|vardagsord även barn kan
ordning|good|enkelt|vardagsord alla kan
entropi|good|svart|känt begrepp för beläst vuxen
dialektik|bad|cut|filosofijargong, oledtrådbar
fenomen|good|mellan|vardagligt vuxenord
illusion|good|mellan|känt via trolleri
hallucination|good|mellan|känt, se det overkliga
resonans|good|svart|fysikord men igenkännbart
vibration|good|enkelt|mobilen vibrerar, barnbekant
frekvens|good|mellan|känt via radio och ljud
mystik|good|mellan|vanligt stämningsord
ockult|good|svart|känt men mindre vardagligt
spiritism|good|svart|känt via seanser, ledtrådbart
telepati|good|mellan|känt, tankeläsning
aura|good|mellan|känt via new age
projektion|good|svart|poppsykologi plus projektor, ledtrådbar
emotion|good|svart|ledtrådas som fint ord för känsla
sensation|good|mellan|dominant betydelse skräll, ledtrådbar
perception|good|svart|bildat ord, varseblivning
abstraktion|good|svart|bildat men igenkännbart
